Rep,Treatment,control,Time_chl_1,Chl_time_1,chl1,Time_nh4_1,Nh4_time_1,nh41,ph1,temp1,Time_chl_2,Chl_time_2,chl2,Time_nh4_2,Nh4_time_2,Chl_Time_Diff,Nh4_Time_Diff,nh42,ph2,temp2,Num_Daphnia,baby,dead,date
39,5,2,,9:51:00 AM,2.965,,10:28:00 AM,13.11,8.8,19.6,,3:54:00 PM,2.44,,04:28:00 PM,363.00,,14.84,8.8,19.7,0,,0,1_15_18
40,5,2,,12:23:00 PM,3.226,,12:53:00 PM,10.75,8.7,19.9,,6:26:00 PM,2.502,,07:10:00 PM,363.00,,13,8.6,19.8,0,,0,1_15_18
1,1,1,,7:41:00 AM,8.246,,4:06:00 PM,17.52,8.3,20.3,,1:41:00 PM,2.671,,1:53:00 PM,360.00,,11.04,8.3,21.1,8,,1,1_17_18
2,1,1,,9:37:00 AM,6.695,,10:20:00 AM,10.81,8.5,19.5,,3:36:00 PM,4.153,,4:16:00 PM,359.00,,11.48,8.4,20.6,9,,1,1_17_18
3,1,1,,10:17:00 AM,7.821,,10:47:00 AM,12.74,8.4,19.7,,4:14:00 PM,7.196,,4:46:00 PM,357.00,,11.71,8.4,20.5,11,,0,1_17_18
4,1,1,,11:00:00 AM,9.187,,11:16:00 AM,12.54,8.5,19.3,,4:59:00 PM,5.506,,5:20:00 PM,359.00,,13.47,8.5,20.6,11,,0,1_17_18
5,1,1,,12:06:00 PM,6.827,,12:42:00 PM,12.52,8.5,19.9,,6:17:00 PM,5,,6:48:00 PM,371.00,,12.42,8.5,20.6,8,,0,1_17_18
6,1,2,,8:30:00 AM,7.131,,9:09:00 AM,11.47,8.5,20,,2:36:00 PM,8.722,,3:01:00 PM,366.00,,11.21,8.6,20.6,0,,0,1_17_18
7,1,2,,9:00:00 AM,8.113,,9:42:00 AM,13.81,8.5,19.9,,2:58:00 PM,5.604,,3:41:00 PM,358.00,,11.81,8.5,20.5,0,,0,1_17_18
8,1,2,,11:42:00 AM,6.233,,12:14:00 PM,12.25,8.6,19.8,,5:43:00 PM,7.377,,6:20:00 PM,361.00,,11.3,8.5,20.8,0,,0,1_17_18
9,2,1,,7:48:00 AM,16,,8:06:00 AM,17.51,8.4,20.3,,1:43:00 PM,2.943,,2:03:00 PM,355.00,,12.67,8.5,20.8,12,,0,1_17_18
10,2,1,,8:11:00 AM,14.98,,8:38:00 AM,12.66,8.4,20.3,,2:11:00 PM,10.18,,2:36:00 PM,360.00,,12.63,8.4,20.5,9,,1,1_17_18
11,2,1,,10:21:00 AM,13.96,,10:57:00 AM,13.11,8.5,19.8,,4:20:00 PM,10.79,,4:53:00 PM,359.00,,12.6,8.4,20.1,10,,0,1_17_18
12,2,1,,11:02:00 AM,14.51,,11:18:00 AM,13.52,8.4,19.5,,5:04:00 PM,7.691,,5:28:00 PM,362.00,,13.63,8.4,20.8,10,,0,1_17_18
13,2,1,,11:29:00 AM,13.11,,11:43:00 AM,13.31,8.5,19.6,,5:29:00 PM,11.1,,5:52:00 PM,360.00,,14.97,8.5,20.1,9,,2,1_17_18
14,2,2,,9:11:00 AM,12.61,,9:52:00 AM,16.16,8.5,19.6,,3:07:00 PM,11.29,,3:51:00 PM,356.00,,12.47,8.5,20.5,0,,0,1_17_18
15,2,2,,9:43:00 AM,14.29,,10:30:00 AM,12.86,8.6,19.7,,3:42:00 PM,10.94,,4:26:00 PM,359.00,,12.39,8.1,20.6,0,,0,1_17_18
16,2,2,,12:15:00 PM,12.62,,12:49:00 PM,12.95,8.6,19.8,,6:21:00 PM,17.3,,6:56:00 PM,366.00,,12.96,8.6,20.6,0,,0,1_17_18
17,3,1,,7:53:00 AM,0.769,,8:12:00 AM,14.66,8.4,20.2,,1:53:00 PM,0.698,,2:08:00 PM,360.00,,11.2,8.4,20.7,11,,0,1_17_18
18,3,1,,8:15:00 AM,0.801,,8:47:00 AM,10.44,8.6,20,,2:20:00 PM,0.694,,2:40:00 PM,365.00,,10.35,8.4,20.1,9,,1,1_17_18
19,3,1,,8:48:00 AM,0.685,,9:15:00 AM,10.25,8.4,20,,2:38:00 PM,6.6,,3:11:00 PM,350.00,,10.76,8.5,20.2,10,,0,1_17_18
20,3,2,,11:04:00 AM,0.766,,11:28:00 AM,10.26,8.4,19.8,,5:05:00 PM,0.781,,5:33:00 PM,361.00,,11.19,8.4,20.9,10,,0,1_17_18
21,3,1,,11:32:00 AM,0.858,,11:53:00 AM,10.06,8.4,19.8,,5:31:00 PM,0.628,,5:56:00 PM,359.00,,12.7,8.4,20.6,9,,1,1_17_18
22,3,2,,9:54:00 AM,0.824,,10:33:00 AM,11.43,8.5,19.6,,4:00:00 PM,0.655,,4:30:00 PM,366.00,,10.71,8.5,20.3,0,,0,1_17_18
23,3,2,,10:32:00 AM,0.934,,11:03:00 AM,11.1,8.5,19.7,,4:36:00 PM,0.762,,5:04:00 PM,364.00,,11.01,8.5,20.7,0,,0,1_17_18
24,3,2,,11:55:00 AM,0.786,,12:24:00 PM,12.41,8.6,19.5,,5:57:00 PM,0.722,,6:25:00 PM,362.00,,10.84,8.5,20.6,0,,0,1_17_18
25,4,1,,8:21:00 AM,25.04,,8:55:00 AM,12.64,8.4,20,,2:27:00 PM,14.21,,2:47:00 PM,366.00,,13.41,8.4,20.2,10,,0,1_17_18
26,4,1,,8:52:00 AM,21.39,,9:25:00 AM,14.48,8.5,19.8,,2:50:00 PM,16.37,,3:20:00 PM,358.00,,12.92,8.4,20.6,10,,0,1_17_18
27,4,1,,9:27:00 AM,24.45,,10:01:00 AM,16.68,8.4,19.6,,3:27:00 PM,17.69,,4:01:00 PM,360.00,,14.94,8.4,20.2,10,,0,1_17_18
28,4,1,,11:35:00 AM,23.32,,12:01:00 PM,13.51,8.5,19.8,,5:35:00 PM,17.46,,6:08:00 PM,360.00,,13.93,8.5,20.5,9,,2,1_17_18
